date,demand_mwh,year,month,week,day_of_week,is_weekend,is_holiday,is_day_before_holiday,is_day_after_holiday,is_bridge_day,temperature_mean_c,temperature_max_c,temperature_min_c,precipitation_mm,wind_speed_max_kmh,solar_radiation_mj_m2,city_temperature_spread_c,temperature_range_c,heating_degree_days,cooling_degree_days,day_of_year_sin,day_of_year_cos,week_of_year_sin,week_of_year_cos,lag_1,lag_7,lag_14,lag_28,lag_364,rolling_mean_7,rolling_mean_28,rolling_mean_56,rolling_std_7,rolling_std_28,lag_1_minus_7
2020-02-25,743820.753,2020,2,9,1,False,False,False,False,False,12.8,18.68,8.06,0.86,17.04,11.864,7.799999999999999,10.62,5.199999999999999,0.0,0.8211001178128892,0.5707841943569036,0.8837064606214575,0.46804154885639837,730827.761,766371.869,761008.347,807001.677,759697.475,724640.2601428572,731316.6738214286,746729.4209285714,56721.76151601906,53324.17638219081,-35544.10799999989
2020-02-26,753405.313,2020,2,9,2,False,False,False,False,False,12.719999999999999,17.68,8.84,1.12,16.1,14.426,7.1,8.84,5.280000000000001,0.0,0.8307970168121247,0.5565755266413303,0.8837064606214575,0.46804154885639837,743820.753,764941.248,766558.356,792162.501,756324.91,721418.6721428571,729060.21225,748288.4646785714,54555.572737998074,51301.287691427744,-21120.494999999995
2020-02-27,751137.432,2020,2,9,3,False,False,False,False,False,13.4,20.2,7.74,0.24000000000000005,18.620000000000005,14.526,6.1,12.459999999999999,4.6,0.0,0.8402480696078469,0.5422021592729844,0.8837064606214575,0.46804154885639837,753405.313,763651.659,759532.177,778203.546,742210.124,719770.6814285715,727676.0269642856,751478.2609821429,53178.60248092973,50043.06854850395,-10246.34600000002
2020-02-28,728292.593,2020,2,9,4,False,False,False,False,False,13.84,19.26,8.72,0.04000000000000001,14.8,14.81,6.800000000000001,10.540000000000001,4.16,0.0,0.8494504794814806,0.527668345562516,0.8837064606214575,0.46804154885639837,751137.432,753744.734,753954.141,765448.598,747742.259,717982.9347142857,726709.3800357142,751971.3870000001,51645.81808099825,49286.60667506008,-2607.302000000025
2020-02-29,670263.321,2020,2,9,5,True,False,False,False,False,13.5,17.700000000000003,9.700000000000001,2.6600000000000006,25.560000000000002,9.638000000000002,6.6,8.000000000000002,4.5,0.0,0.8584015232918917,0.512978386299228,0.8837064606214575,0.46804154885639837,728292.593,672072.47,675832.097,681471.943,670242.996,714346.9145714287,725382.3798571428,751500.8021964285,49562.38731806449,48701.6817198308,56220.12300000002
2020-03-01,626873.694,2020,3,9,6,True,False,False,False,False,14.46,18.16,11.06,0.8200000000000001,27.580000000000002,11.858,8.2,7.1,3.539999999999999,0.0,0.8670985522812081,0.4981366284784055,0.8837064606214575,0.46804154885639837,670263.321,620872.08,625453.407,625016.468,621445.195,714088.4647142857,724982.0719285713,750927.0958214285,49823.60284718236,49120.24171554603,49391.24100000004
2020-03-02,741296.331,2020,3,10,0,False,False,False,False,False,14.180000000000001,16.78,10.74,5.840000000000001,35.620000000000005,14.532,7.200000000000001,6.040000000000001,3.8199999999999985,0.0,0.8755389928586302,0.4831474640149687,0.933530072818355,0.3584990978283722,626873.694,730827.761,739797.699,729329.082,729814.28,714945.8381428572,725048.4014285716,750478.9923928572,47969.30378067155,48981.31110313948,-103954.06700000004
2020-03-03,769321.188,2020,3,10,1,False,False,False,False,False,12.44,17.72,8.06,1.4600000000000002,32.74,11.114,5.300000000000001,9.659999999999998,5.5600000000000005,0.0,0.8837203473619977,0.4680153284438345,0.933530072818355,0.3584990978283722,741296.331,743820.753,766371.869,747892.827,745164.11,716441.3481428571,725475.8031785714,752461.792375,48704.520290330845,49072.17465136001,-2524.4220000000205
2020-03-04,759058.244,2020,3,10,2,False,False,False,False,False,15.360000000000001,19.8,11.780000000000001,0.66,14.96,13.054000000000002,7.4,8.02,2.639999999999999,0.0,0.8916401947968874,0.45274469960737107,0.933530072818355,0.3584990978283722,769321.188,753405.313,764941.248,758987.788,767457.592,720084.2674285715,726241.1017857142,752109.8203571428,51939.919469193155,49598.98837590998,15915.875
2020-03-05,754365.164,2020,3,10,3,False,False,False,False,False,14.620000000000001,19.240000000000002,11.16,3.2800000000000007,28.080000000000002,11.522,6.9,8.080000000000002,3.379999999999999,0.0,0.8992961915530253,0.4373400963303323,0.933530072818355,0.3584990978283722,759058.244,751137.432,763651.659,769754.643,758178.303,720891.829,726243.6180714285,751019.0090357143,52584.289619576695,49600.71298825846,7920.811999999918
